Name	Facebook	Screenname	Flickr	LinkedIn	Youtube	Constituency	Party	Candidate Web Page	Email	Party Web Site
Ms. Jan O'Sullivan	http://www.facebook.com/JanOSullivanLimerick	janosullivantd	http://www.flickr.com/search/?q=janosullivan&m=tags&w=32586689%40N00&ss=2&z=m			Limerick City	Labour Party	http://www.labour.ie/janosullivan/	jan.osullivan@oireachtas.ie	http://www.labour.ie/
Mr. Willie Penrose		williepenrosetd				Longford -Westmeath	Labour Party	http://www.labour.ie/williepenrose/	willie.penrose@oireachtas.ie	http://www.labour.ie/
Mr. John Paul Phelan	http://www.facebook.com/carlowkilkenny	jpphelan		http://ie.linkedin.com/pub/john-paul-phelan/2b/752/3b6		Carlow-Kilkenny	Fine Gael	http://www.finegael.ie/our-people/tds/john-paul-phelan/	johnpaul.phelan@oireachtas.ie	http://www.finegael.ie
Ms. Ann Phelan	http://www.facebook.com/ann.phelan.9	annphelantd	http://www.flickr.com/search/?q=annphelan&m=tags&w=32586689%40N00&ss=2&z=m	http://ie.linkedin.com/pub/ann-phelan/25/56/b57		Carlow-Kilkenny	Labour Party	http://www.labour.ie/annphelan	ann.phelan@oireachtas.ie	http://www.labour.ie/
Mr. Thomas Pringle	http://www.facebook.com/ThomasPringleTD	thomaspringletd		http://ie.linkedin.com/pub/thomas-pringle/33/446/512		Donegal South-West	Independent	http://www.thomaspringle.ie/	thomas.pringle@oireachtas.ie	
Mr. Ruair’ Quinn		ruairiquinntd				Dublin South-East	Labour Party	http://www.ruairiquinn.ie/	ruairi.quinn@oireachtas.ie	http://www.labour.ie/
Mr. Pat Rabbitte		patrabbittetd	http://www.flickr.com/search/?q=patrabbitte&m=tags&w=32586689%40N00&ss=2&z=m			Dublin South-West	Labour Party	http://www.patrabbitte.ie/	pat.rabbitte@oireachtas.ie	http://www.labour.ie/
Dr. James Reilly	http://www.facebook.com/DrJamesReillyTD	drjamesreilly				Dublin North	Fine Gael		james.reilly@oireachtas.ie	http://www.finegael.ie
Mr. Shane Peter Nathaniel Ross		shane_rosstd		http://ie.linkedin.com/pub/shane-ross/14/15b/569	http://www.youtube.com/ShaneRossIreland	Dublin South	Independent	http://www.shane-ross.ie/	shane.ross@oireachtas.ie	
Mr. Brendan Ryan	http://ww.facebook.com/pages/Brendan-Ryan-Labour-Party/184047904961795	brendanryantd	http://www.flickr.com/search/?q=brendanryan&m=tags&w=32586689%40N00&ss=2&z=m	http://ie.linkedin.com/pub/brendan-ryan/14/b04/839	http://www.youtube.com/user/BrendanRyanTD	Dublin North	Labour Party	http://www.labour.ie/brendanryan	brendan.ryan@oireachtas.ie	http://www.labour.ie/
Mr. Alan Shatter	http://www.facebook.com/AlanShatterTD	alanshattertd				Dublin South	Fine Gael	http://www.alanshatter.ie/	alan.shatter@oireachtas.ie	http://www.finegael.ie
Mr. Sean Sherlock	http://www.facebook.com/SeanSherlockTD	seansherlocktd		http://ie.linkedin.com/pub/sean-sherlock/4a/b07/8a3		Cork East	Labour Party	http://www.seansherlock.ie/	sean.sherlock@oireachtas.ie	http://www.labour.ie/
Mr. Brendan Smith	http://www.facebook.com/BrendanSmithTD	brendansmithtd				Cavan-Monaghan	Fianna F‡il	http://brendansmith.ie/	brendan.smith@oireachtas.ie	http://www.fiannafail.ie/
Mr. Arthur Spring	http://www.facebook.com/arthurjspring	springaj	http://www.flickr.com/search/?q=arthurspring&m=tags&w=32586689%40N00&ss=2&z=m			Kerry North Limerick West	Labour Party	http://www.labour.ie/arthurspring/	arthur.spring@oireachtas.ie	http://www.labour.ie/
Mr. Brian Stanley	http://www.facebook.com/brian.stanley.5243?f	brianstanleytd				Laoighis-Offaly	Sinn FŽin	http://www.sinnfein.ie/contents/20209	brian.stanley@oireachtas.ie	http://www.sinnfein.ie
Mr. David Stanton	http://www.facebook.com/pages/David-Stanton-TD/52600464699	davidstantontd		http://ie.linkedin.com/pub/david-stanton-td/13/481/547		Cork East	Fine Gael	http://stanton.ie/	david.stanton@oireachtas.ie	http://www.finegael.ie
Mr. Billy Godfrey Timmins	http://www.facebook.com/billy.timmins	billy_timmins		http://ie.linkedin.com/pub/billy-timmins/31/266/601		Wicklow	RENUA Ireland		billy.timmins@oireachtas.ie	http://www.renuaireland.ie/
Mr. Peadar T—ib’n	http://www.facebook.com/peadar.toibin	toibin1		http://ie.linkedin.com/pub/peadar-t%C3%B3ib%C3%ADn/b/496/131		Meath West	Sinn FŽin	http://www.sinnfein.ie/contents/20208	peadar.toibin@oireachtas.ie	http://www.sinnfein.ie
Mr. Robert Troy	http://www.facebook.com/robert.troy.98	roberttroytd				Longford -Westmeath	Fianna F‡il	http://www.roberttroy.ie/	robert.troy@oireachtas.ie	http://www.fiannafail.ie/
Ms. Joanna Tuffy	http://www.facebook.com/pages/Joanna-Tuffy-TD/181115348573461	joannatuffytd	http://www.flickr.com/search/?q=joannatuffy&m=tags&w=32586689%40N00&ss=2&z=m			Dublin Mid West	Labour Party	http://www.labour.ie/joannatuffy	joanna.tuffy@oireachtas.ie	http://www.labour.ie/
Dr. Liam Twomey	http://www.facebook.com/liam.twomey.731	liamtwomey				Wexford	Fine Gael	http://www.finegael.ie/our-people/tds/liam-twomey/index.xml	liam.twomey@oireachtas.ie	http://www.finegael.ie
Dr. Leo Varadkar	http://www.facebook.com/pages/Leo-Varadkar-TD/178974912140818	campaignforleo				Dublin West	Fine Gael	http://leovaradkar.ie/	leo.varadkar@oireachtas.ie	http://www.finegael.ie
Mr. Jack Wall	http://www.facebook.com/kildaresouthlabour	kildarelabour	http://www.flickr.com/search/?q=jackwall&m=tags&w=32586689%40N00&ss=2&z=m			Kildare South	Labour Party	http://www.kildaresouth.com/index.html	jack.wall@oireachtas.ie	http://www.labour.ie/
Mr. Mick Wallace	http://www.facebook.com/wallacemick	wallacemick			http://www.youtube.com/channel/UCKwpbETMOUSkDIyHhRrwDVg	Wexford	Independent	http://mickwallace.net/	mick.wallace@oireachtas.ie	
Mr. Brian Walsh	http://www.facebook.com/brian.walshtd	brianwalshtd				Galway West	Fine Gael	http://www.finegael.ie/our-people/tds/brian-walsh/index.xml	brian.walsh@oireachtas.ie	http://www.finegael.ie
Mr. Alex White	http://www.facebook.com/AlexWhiteTD	alexwhitetd	http://www.flickr.com/photos/labourparty/sets/72157594474949588/			Dublin South	Labour Party	http://www.alexwhite.ie	alex.white@oireachtas.ie	http://www.labour.ie/
