Screenname	Name	Description	Constituency	Surname	Firstname	Gender	Party	PartyInitials	Status	Remarks
iannoelsmyth	Ian Noel Smyth	"Architect, Designer, Environmentalist, Businessman. Craftmanship in design, Sustainability in Landscape.  Green Party Candidate for Dublin Central"	Dublin Central	Smyth	Ian Noel	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Baile çtha Cliath Lair
imeldamunster	Imelda Munster TD	"Sinn Fein TD for Louth/East-Meath. Wife, mother and intensely proud irish republican!"	Louth	Munster	Imelda	F	Sinn Fein	S.F.	Elected	L“
jackfchambers	Jack Chambers	Fianna Fail TD for Dublin West	Dublin West	Chambers	Jack	M	Fianna Fail	F.F.	Elected	Baile çtha Thiar
jackiecahillff	Jackie Cahill TD	TD for Tipperary and @Fiannafailparty spokesperson on Food Horticulture & Forestry. Email: jackie.cahill@oireachtas.ie https://t.co/SE17jnPVoh	Tipperary	Cahill	Jackie	M	Fianna Fail	F.F.	Elected	Tiobraid çrann
jackson_donal	Donal Jackson	Business Consultant.	Longford-Westmeath	Jackson	Donal	M	Non-Party	NON-P.	Excluded	An Longfort-An Iarmhi
jamesbannontd	James Bannon		Longford-Westmeath	Bannon	James	M	Fine Gael	F.G.	Excluded	An Longfort-An Iarmhi
jamescharity14	Cllr James Charity	Barrister at Law. Public Representative/Councillor for Galway County Council and Athenry-Oranmore Municipal District. Life long Aston Villa fan.	Galway West	Charity	James	M	Non-Party	NON-P.	Excluded	Gaillimh Thiar
jamesgaffney	James Gaffney		Limerick City	Gaffney	James	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Cathair Luimnigh
jamesmorgan40	James Morgan	Official twitter account for James Morgan Independent candidate in the 2016 General Election for Longford Weatmeath	Longford-Westmeath	Morgan	James	M	Non-Party	NON-P.	Excluded	An Longfort-An Iarmhi
janosullivantd	Jan O'Sullivan	Labour TD for Limerick City	Limerick City	O'Sullivan	Jan	F	The Labour Party	LAB.	Elected	Cathair Luimnigh
jenncuffe09	Cllr Jennifer Cuffe	Killiney Shankill LEA	Wicklow	Cuffe	Jennifer	F	Fianna Fail	F.F.	Excluded	Cill Mhantain
jerrybuttimer	Jerry Buttimer	"Senator, Member of Seanad Eireann; member of Fine Gael, Corkonian, GAA / Sports fan. reader, walker, passionate and LGBT advocate."	Cork South-Central	Buttimer	Jerry	M	Fine Gael	F.G.	Excluded	Corcaigh Theas-Lar
jimdalytd	Jim Daly		Cork South-West	Daly	Jim	M	Fine Gael	F.G.	Elected	Corcaigh Thiar Theas
jimmydeenihantd	Jimmy Deenihan	Minister for Diaspora Affairs	Kerry	Deenihan	Jimmy	M	Fine Gael	F.G.	Excluded	Ciarrai
jimmydignamwp	Jimmy Dignam	"Dublin North-West Workers Party candidate in #GE16, Socialist, EuroSport cycling addict and Bohs member."	Dublin North-West	Dignam	Jimmy	M	Workers Party	W.P.	Excluded	Baile çtha Cliath Thiar Thuaidh
jmcguinnesstd	John McGuinness TD	"Straightforward, Energetic, Efficient. Representing Carlow/Kilkenny since 1997."	Carlow-Kilkenny	McGuinness	John	M	Fianna Fail	F.F.	Elected	Ceatharlach-Cill Chainnigh
joanburton	Joan Burton	@labour TD for Dublin West	Dublin West	Burton	Joan	F	The Labour Party	LAB.	Elected	Baile çtha Thiar
joancollinstd	Joan Collins T.D.	T.D. for Dublin South Central. Independent supporting the Right2Change 10 point policy programme.	Dublin South-Central	Collins	Joan	F	Independents 4 Change	I.4.C	Elected	Baile çtha Cliath Theas-Lar
jobrien_sf	Jonathan O'Brien	"Elected member of the 26 County Parliament (Irish Parliament), Irish Republican & Socialist"	Cork North-Central	O'Brien	Jonathan	M	Sinn Fein	S.F.	Elected	Corcaigh Thuaidh-Lar
joe_mchugh_td	Joe McHugh	Teachta Dala Fine Gael do Dhun na nGall. Aire Stait um Ghnothai Diaspora & Forbairt Idirnaisiunta sa Roinn Gnothai Eachtracha & Tradala agus Roinn an Taoisigh	Donegal	McHugh	Joe	M	Fine Gael	F.G.	Elected	D“n na nGall
joecareytd	Joe Carey	I am a Fine Gael TD for County Clare and member of the Joint Oireachtas Committee on Social Protection. https://t.co/7VzISfddS8	Clare	Carey	Joe	M	Fine Gael	F.G.	Elected	An Clar
joecostellotd	Joe Costello	Former Minister for Trade & Development Director of Elections Michael D Higgins Presidential Campaign Labour Spokesperson Urban Regeneration Sports Enthusiast	Dublin Central	Costello	Joe	M	The Labour Party	LAB.	Excluded	Baile çtha Cliath Lair
joefingalgreen	Joe O'Brien	"Skerries, Green, Social Justice, Transparency, Parent"	Dublin Fingal	O'Brien	Joe	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Baile çtha Cliath - Fine Gall
joeoreillytd	Joe O' Reilly		Cavan-Monaghan	O'Reilly	Joe	M	Fine Gael	F.G.	Excluded	An Cabhan-Muineachan
johnbradysf	John Brady TD	"TD for Wicklow/East Carlow. Sinn Fein Spokesperson on Social Protection. Contact: Bray Office 01-2762623, Arklow Office 0402-41853, Leinster Hse 01-6183365"	Wicklow	Brady	John	M	Sinn Fein	S.F.	Elected	Cill Mhantain
johnhalligan	John Halligan	Independent TD elected to 32nd Dail in Waterford Constituency. RT not endorsement.	Waterford	Halligan	John	M	Non-Party	NON-P.	Elected	Port  Lairge
johnkellylabour	John Kelly	"Former Senator,  Ballaghaderreen"	Roscommon-Galway	Kelly	John	M	The Labour Party	LAB.	Excluded	Ros Comain-Gaillimh
johnlahart	John Lahart TD	Dublin South West TD - Dublin Spokesperson	Dublin South-West	Lahart	John	M	Fianna Fail	F.F.	Elected	Baile çtha Cliath Thiar Theas
johnleahyoy	John Leahy	RENUA Ireland Party Leader & County Councillor Offaly	Offaly	Leahy	John	M	Renua Ireland	R.I.	Excluded	Uibh Fhaili
johnlyonspbpa	Cllr. John Lyons	"Revolutionary Socialist, People Before Profit Alliance councillor for Dublin City."	Dublin Bay North	Lyons	John	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Cuan Bhaile çtha Cliath Thuaidh
johnnymythensf	Johnny Mythen	"Sinn Fein Councillor, County Wexford"	Wexford	Mythen	John	M	Sinn Fein	S.F.	Excluded	Loch Garman
johnpauloshea1	John Paul O' Shea	John Paul is a member of Cork County Council since June 2009 and former Mayor of Cork for 2015/2016. All views are my own and a retweet is not an endorsement!	Cork North-West	O'Shea	John Paul	M	Non-Party	NON-P.	Excluded	Corcaigh Thiar Thuaidh
josephamadigan	[?] Josepha Madigan	"Josepha Madigan TD is an award-winning family lawyer, author & mediator. Fine Gael TD for Dublin Rathdown. [?] #madiganmatters"	Dublin Rathdown	Madigan	Josepha	F	Fine Gael	F.G.	Elected	Baile çtha Cliath-Rath an D“in
jpphelan	John Paul Phelan	Fine Gael TD Carlow/Kilkenny & party Vice-President. Chair Select Committee on Budget Scrutiny. Economics grad. Barrister. Kilkenny supporter & Liverpool fan.	Carlow-Kilkenny	Phelan	John Paul	M	Fine Gael	F.G.	Elected	Ceatharlach-Cill Chainnigh
julieahogan	Julie Hogan		Wexford	Hogan	Julie	F	Fine Gael	F.G.	Excluded	Loch Garman
julieolry	Julie O'Leary	"Cork based barrister, with an interest in human rights and European affairs. Formerly youngest FG candidate, General Election '16, Cork North Central. Cyclist."	Cork North-Central	O'Leary	Julie	F	Fine Gael	F.G.	Excluded	Corcaigh Thuaidh-Lar
karenwarrenfg	KarenWarren	"FG general election candidate for Dublin South West, if elected I want to be the voice for the people in Tallaght & Dublin SW in Dail Eireann."	Dublin South-West	Warren	Karen	F	Fine Gael	F.G.	Excluded	Baile çtha Cliath Thiar Theas
kathleenlynchtd	Kathleen Lynch		Cork North-Central	Lynch	Kathleen	F	The Labour Party	LAB.	Excluded	Corcaigh Thuaidh-Lar
kathleensf1	Kathleen Funchion SF	Sinn Fein TD for Carlow and Kilkenny. Mother of 2 boys.	Carlow-Kilkenny	Funchion	Kathleen	F	Sinn Fein	S.F.	Elected	Ceatharlach-Cill Chainnigh
kathrynreilly	Kathryn Reilly	Policy and Politics graduate. Political advisor on Health in the Oireachtas.	Cavan-Monaghan	Reilly	Kathryn	F	Sinn Fein	S.F.	Excluded	An Cabhan-Muineachan
keegan1andrew	Andrew Keegan	People Before Profit Councillor for Ballymun Ward Dublin Dublin North West	Dublin North-West	Keegan	Andrew	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Baile çtha Cliath Thiar Thuaidh
kencurtin	Ken Curtin	Married to @Corklollipop | 2 daughters | Interests: #Community #Politics & #Tourism | @SocDems #Cork East | @CobhTidy | @gicf15 | @CobhRegatta | Opinions own |	Cork  East	Curtin	Ken	M	Social Democrats	S.D.	Excluded	Corcaigh Thoir
kenneallyciaran	ciaran kenneally		Cork South-Central	Kenneally	Ciaran	M	Renua Ireland	R.I.	Excluded	Corcaigh Theas-Lar
kennedyniamhm	Cllr. Niamh Kennedy	Donegal County Councillor	Donegal	Kennedy	Niamh	F	Non-Party	NON-P.	Excluded	D“n na nGall
kodonnell2011	Kieran O'Donnell	This is an old account. Please follow @kodonnellTD which is where I am live now.	Limerick City	O'Donnell	Kieran	M	Fine Gael	F.G.	Excluded	Cathair Luimnigh
kodonnelltd	Kieran O'Donnell		Limerick City	O'Donnell	Kieran	M	Fine Gael	F.G.	Excluded	Cathair Luimnigh
kzapponetd	Katherine Zappone	"An educator, entrepreneur, feminist, and Independent TD for Dublin South West. Co-founder of @An_Cosan in Jobstown, Tallaght."	Dublin South-West	Zappone	Katherine	F	Non-Party	NON-P.	Elected	Baile çtha Cliath Thiar Theas
lawlessj	James Lawless	"FF TD for Kildare North. Trinity (Maths, IT) and Kings Inns (Law). Barrister & Software Engineer. Spokesperson on Science, Technology, R & D."	Kildare North	Lawless	James	M	Fianna Fail	F.F.	Elected	Cill Dara Thuaidh
lcreighton	Lucinda Creighton	"CEO Vulcan Consulting. Special Advisor on Brexit with Fipra. Wanderer. Horse lover, Former Europe Minister."	Dublin Bay South	Creighton	Lucinda	F	Renua Ireland	R.I.	Excluded	Cuan Bhaile çtha Cliath Theas
leonardkellyge	Leonard Kelly	"Co-Founder CommunityMinds, Chairperson Friends of It's Good 2 Talk Social Democrat"	Wexford	Kelly	Leonard	M	Social Democrats	S.D.	Excluded	Loch Garman
liamcoynes	Liam Coyne	Liam Coyne. very unhappy with the inequality in our society. As I businessman I don't accept it can't be changed. tweets are mine not SocDems	Dublin South-Central	Coyne	Liam	M	Social Democrats	S.D.	Excluded	Baile çtha Cliath Theas-Lar
lichamber	Lisa Chambers TD	@fiannafailparty TD for Mayo constituency - Irish Barrister - All views expressed are my own	Mayo	Chambers	Lisa	F	Fianna Fail	F.F.	Elected	Maigh Eo
loreillysf	Louise O'ReillyTD	Republican Trade Unionist Wife Mother True Blue Dub I am the Sinn Fein TD for Dublin Fingal and spokesperson for Health Opinions mine etc	Dublin Fingal	O'Reilly	Louise	F	Sinn Fein	S.F.	Elected	Baile çtha Cliath - Fine Gall
lorhiggins	Lorraine Higgins	"Barrister. Lecturer. Board Director @letsgettalkingg. Golfer. Duathlon challenger. Born-again Francophile. Has a bag so, will travel. Former Senator."	Galway East	Higgins	Lorraine	F	The Labour Party	LAB.	Excluded	Gaillimh Thoir
lornabogue	Lorna Bogue	"Green #GE16 candidate for #CorkSC Donating EUR25,000 of the TD's wage back to the constituency. Repeal the 8th. Redistribute wealth. Reclaim politics."	Cork South-Central	Bogue	Lorna	F	Green Party/ Comhaontas Glas	G.P.	Excluded	Corcaigh Theas-Lar
lornaforireland	Lorna Nolan	"Independent Candidate 2014 Local Elections.                                               Strength, Unity, Community Equals  Real Change http://t.co/V3UyAs3hFs"	Cork South-Central	Bogue	Lorna	F	Green Party/ Comhaontas Glas	G.P.	Excluded	Corcaigh Theas-Lar
lorrcliff	Lorraine CliffordLee	"Fianna Fail senator/Seanad Spokesperson on Justice and Equality, Children and Youth Affairs/Solicitor/Mother to Kitty"	Dublin Fingal	Clifford-Lee	Lorraine	F	Fianna Fail	F.F.	Excluded	Baile çtha Cliath - Fine Gall
macmanuschris	Chris MacManus	Sinn Fein candidate for Sligo-Leitrim for the General Election. Lifelong republican. Retweets not an endorsement.	Sligo-Leitrim	Mac Manus	Chris	M	Sinn Fein	S.F.	Excluded	Sligeach-Liatroim
maebhnif	Maebh Ni Fhalluin	"MPH. Interested in Gaelic, public health & the environment / Suim sa Ghaeilge, slainte phoibli & timpeallacht."	Kildare North	Ni Fhall“in	Maebh	F	Green Party/ Comhaontas Glas	G.P.	Excluded	Cill Dara Thuaidh
maeve_yore	Maeve Yore	Independent Councillor with Integrity Louth Co Council	Louth	Yore	Maeve	F	Non-Party	NON-P.	Excluded	L“
mailopower	Mailo Power	"#Hotelier #Designer #Artist, President #RENUA Ireland, views are my own."	Waterford	Power	Mailo	F	Renua Ireland	R.I.	Excluded	Port  Lairge
malcolmbyrne	Malcolm Byrne	Member of Wexford County Council	Wexford	Byrne	Malcolm	M	Fianna Fail	F.F.	Excluded	Loch Garman
malcolmnoonan1	Malcolm Noonan	"Green Party Spokesperson Environment, Community  Local Govt.County Councillor, community activist, suicide prevention worker, gardener, musician,daddy & husband"	Carlow-Kilkenny	Noonan	Malcolm	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Ceatharlach-Cill Chainnigh
manchanmagan	Manchan Magan	"Broadcaster, writer, dreamer, traveller agus amadan gan Bearla."	Longford-Westmeath	Magan	Manchan	M	Green Party/ Comhaontas Glas	G.P.	Excluded	An Longfort-An Iarmhi
marcmacsharry	gern kun		Kildare North	Dunne	Ger	M	Non-Party	NON-P.	Excluded	Cill Dara Thuaidh
mariabaileyfg	Maria Bailey	Dun Laoghaire Fine Gael TD. Running fanatic. Mother of two	D“n Laoghaire	Bailey	Maria	F	Fine Gael	F.G.	Elected	D“n Laoghaire
marie_casserly	Cllr Marie Casserly.	"Mum, Mayor of Sligo #Independent #Community #Health #Enterprise #Jobs #LoveSligo #IndAll #Sligo"	Sligo-Leitrim	Casserly	Marie	F	Non-Party	NON-P.	Excluded	Sligeach-Liatroim
markdearey	Mark Dearey	Chairperson of Municipal District of Dundalk	Louth	Dearey	Mark	M	Green Party/ Comhaontas Glas	G.P.	Excluded	L“
markkeogh7	Mark Keogh	"Sick of seeing this country getting carved up for profit. Seeking answers, questioning everything! Accountability, transparency and grassroot advocate."	Limerick County	Keogh	Mark	M	Direct Democracy Ireland	D.D.I.	Excluded	Contae Luimnigh
markwall1	Mark Wall	"County Councillor , Kildare GAA Fan , Liverpool Fan - https://t.co/az0Cb2VAU9"	Kildare South	Wall	Mark	M	The Labour Party	LAB.	Excluded	Cill Dara Theas
martin_kenny	Martin Kenny	"Sinn Fein TD for Sligo, Leitrim, West Cavan and South Donegal."	Sligo-Leitrim	Kenny	Martin	M	Sinn Fein	S.F.	Elected	Sligeach-Liatroim
martinheydonfg	Martin Heydon	Fine Gael TD for Kildare South who is a proud lilywhite. Chairman of Fine Gael Parliamentary Party	Kildare South	Heydon	Martin	M	Fine Gael	F.G.	Elected	Cill Dara Theas
mary_butler_	Mary Butler TD	"Fianna Fail TD in Waterford. FF Spokesperson for Older People , Chair of Oireachtas Committee Jobs&Enterprise. Mum of 3 . Married to Mick Lives in Portlaw"	Waterford	Butler	Mary	F	Fianna Fail	F.F.	Elected	Port  Lairge
maryloumcdonald	Mary Lou McDonald	"Deputy Leader of Sinn Fein, TD for Dublin Central and party Spokesperson on Mental Health and Suicide Prevention."	Dublin Central	McDonald	Mary Lou	F	Sinn Fein	S.F.	Elected	Baile çtha Cliath Lair
marymmoran	Mary Moran	Mother of five. Former Senator. Dundalk FC supporter. Disability and Mental Health advocate.Teacher.Dundalk Positive Mental Health Forum https://t.co/SCm6QRooGB	Louth	Moran	Mary	F	The Labour Party	LAB.	Excluded	L“
mattiemcgrathtd	Mattie McGrath TD	Independent T.D in the 32nd Dail for the new Tipperary Constituency	Tipperary	McGrath	Mattie	M	Non-Party	NON-P.	Elected	Tiobraid çrann
mcbreartyjnr	Cllr Frank McBrearty		Donegal	McBrearty	Frank	M	Non-Party	NON-P.	Excluded	D“n na nGall
mcconalogue	Charlie McConalogue	"Fianna Fail Spokesperson on Agriculture, Food and the Marine and TD for Donegal"	Donegal	McConalogue	Charlie	M	Fianna Fail	F.F.	Elected	D“n na nGall
mcdonagh4clare	Michael McDonagh	Fianna Fail General Election candidate for County Clare. Twice Chairman of the Clare County Board and retired member of An Garda Siochana.	Clare	McDonagh	Michael Malty	M	Fianna Fail	F.F.	Excluded	An Clar
mcmahon_ronan	Ronan McMahon	"#RENUA Councillor for Templeogue/Terenure ward incorporating Firhouse, Orwell, Knocklyon, Rathfarnham & Greenhills. RT's are not endorsements."	Dublin South-West	McMahon	Ronan	M	Renua Ireland	R.I.	Excluded	Baile çtha Cliath Thiar Theas
mcubbard	Mike Cubbard	"Independent Cllr & chair of JPC. Married to Karen and we have 3 amazing boys, Ryan, Adam & Ben. Football manager/coach & season tickets for GUFC & MUFC !"	Galway West	Cubbard	Mike	M	Non-Party	NON-P.	Excluded	Gaillimh Thiar
mgarganrenua	Michael Gargan	Small Business Owner and Renua General Election Candidate. #dubsc #ge16	Dublin South-Central	Gargan	Michael	M	Renua Ireland	R.I.	Excluded	Baile çtha Cliath Theas-Lar
mhealyrae	Michael Healy-Rae	Independent TD for Kerry	Kerry	Healy-Rae	Michael	M	Non-Party	NON-P.	Elected	Ciarrai
michael_lowry	Michael Lowry	Official Twitter Account of Michael Lowry T.D. - Representing the people of Tipperary in the 32nd Dail.	Tipperary	Lowry	Michael	M	Non-Party	NON-P.	Elected	Tiobraid çrann
michaeldarcy	Michael D'Arcy	Michael was elected to Dail Eireann in Feb '16. Views expressed are my own. https://t.co/ggqXtEmO9V	Wexford	D'arcy	Michael	M	Fine Gael	F.G.	Elected	Loch Garman
michaelfitzmau1	Michael Fitzmaurice	Independent TD	Roscommon-Galway	Fitzmaurice	Michael	M	Non-Party	NON-P.	Elected	Ros Comain-Gaillimh
michaelsmithff	Michael Smith	General Election Candidate Tipperary	Tipperary	Smith	Michael	M	Fianna Fail	F.F.	Excluded	Tiobraid çrann
micheal_sustain	Micheal Callaghan	Environmental Law Graduate; @greenparty_ie candidate in #Cavan #Monaghan for General Election 2016; Gaeilgeoir; Co - founder Transition Monaghan; Activist.	Cavan-Monaghan	Callaghan	Micheal	M	Green Party/ Comhaontas Glas	G.P.	Excluded	An Cabhan-Muineachan
michealmartintd	Micheal Martin	Elected Uachtaran Fhianna Fail on the 26th of January 2011. Representing the people of Cork South Central in Dail Eireann since 1989.	Cork South-Central	Martin	Micheal	M	Fianna Fail	F.F.	Elected	Corcaigh Theas-Lar
mickfinn01	Mick Finn	Indep Cork City Councillor & SCP Project Worker	Cork South-Central	Finn	Mick	M	Non-Party	NON-P.	Excluded	Corcaigh Theas-Lar
mitchelloconnor	MaryMitchellO'Connor	"Dun Laoghaire Fine Gael TD. Minister for Jobs, Enterprise and Innovation in 32nd Dail."	D“n Laoghaire	Mitchell O'Connor	Mary	F	Fine Gael	F.G.	Elected	D“n Laoghaire
mmccarthy_mc	Michael Mc Carthy	Former TD & Oireachtas Environment committee chairman	Cork South-West	McCarthy	Michael	M	The Labour Party	LAB.	Excluded	Corcaigh Thiar Theas
mmcnamara_clare	Michael McNamara	"Clare Farmer and Barrister, Labour Party Spokesperson on International Tax Justice."	Clare	McNamara	Michael	M	The Labour Party	LAB.	Excluded	An Clar
mmoynihantd	Michael Moynihan TD	"Fianna Fail TD for Cork North West since 97. All views my own, RTs not endorsements. Office: 029 51299; Email: michael@michaelmoynihantd.ie. Thanks for support"	Cork North-West	Moynihan	Michael	M	Fianna Fail	F.F.	Elected	Corcaigh Thiar Thuaidh
mosullivantd	Maureen O'SullivanTD	"Committed to Dublin Central communities with Tony Gregory for 30yrs; City Councillor in 2008, Elected to Dail 2009, Re-elected TD 2011 & 2016. Phone: 01 6183488"	Dublin Central	O'Sullivan	Maureen	F	Non-Party	NON-P.	Elected	Baile çtha Cliath Lair
mulherinfg	Michelle Mulherin		Mayo	Mulherin	Michelle	F	Fine Gael	F.G.	Excluded	Maigh Eo
murphyeoghan	Eoghan Murphy	"Minister for Financial Services, eGov and Procurement @ Departments of Finance & Public Expenditure and Reform. Fine Gael TD for Dublin Bay South"	Dublin Bay South	Murphy	Eoghan	M	Fine Gael	F.G.	Elected	Cuan Bhaile çtha Cliath Theas
myseamusbrowne	Seamus Browne	Sinn Fein	Limerick County	Browne	Seamus	M	Sinn Fein	S.F.	Excluded	Contae Luimnigh
naoiseomuiri	Cllr. Naoise O Muiri	Fine Gael Cllr. in Dublin Bay North. Former Lord Mayor of Dublin. Engineer. In Fairness...	Dublin Bay North	O Muiri	Naoise	M	Fine Gael	F.G.	Excluded	Cuan Bhaile çtha Cliath Thuaidh
ngallagherpbp	Nigel Gallagher PBP	"People Before Profit Candidate for Sligo, Leitrim, West Cavan, South Donegal constituency #GE2016"	Sligo-Leitrim	Gallagher	Nigel	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Sligeach-Liatroim
nharrington2	Noel Harrington	"FG TD for CSW 2011-16 County Cork Mayor 08/09,Castletownbere. Beara, West Cork."	Cork South-West	Harrington	Noel	M	Fine Gael	F.G.	Excluded	Corcaigh Thiar Theas
niallcollinstd	Niall Collins	"Limerick TD & Fianna Fail Spokesperson for Jobs, Enterprise & Innovation. Contact 061 300149 niall.collins@oireachtas.ie Media or Press queries to 086 8355219."	Limerick County	Collins	Niall	M	Fianna Fail	F.F.	Elected	Contae Luimnigh
niallotuathail	Niall O Tuathail	Full-time personal assistant to a 3yo and 1yo. Part-time @SocDems volunteer passionate about health & housing policy. Healthcare advisor for hire in spare time.	Galway West	O Tuathail	Niall	M	Social Democrats	S.D.	Excluded	Gaillimh Thiar
nigeldennehysf	nigeldennehysf		Cork North-West	Dennehy	Nigel	M	Sinn Fein	S.F.	Excluded	Corcaigh Thiar Thuaidh
noelmccarthyfg	CllrNoelMcCarthyFG	Fine Gael Councillor for Fermoy LEA. Fine Gael Candidate for #CorkEast #GE16	Cork  East	McCarthy	Noel	M	Fine Gael	F.G.	Excluded	Corcaigh Thoir
noelrock	Noel Rock	Dublin North West TD for Fine Gael. Public Accounts Committee member: scrutinising public spending.	Dublin North-West	Rock	Noel	M	Fine Gael	F.G.	Elected	Baile çtha Cliath Thiar Thuaidh
normamoriarty	Cllr Norma Moriarty	"Member of KCC representing the South and West Municipal Area. Fianna Fail. Chairperson of Kerry LCDC, member of Kerry ETB."	Kerry	Moriarty	Norma	F	Fianna Fail	F.F.	Excluded	Ciarrai
ocallaghancian	Cllr.CianO'Callaghan	@socdems Dublin Bay North mix of personal and political tweets	Dublin Bay North	O'Callaghan	Cian	M	Social Democrats	S.D.	Excluded	Cuan Bhaile çtha Cliath Thuaidh
ocallaghanjim	Jim O'Callaghan	"TD Dublin Bay South, Fianna Fail."	Dublin Bay South	O'Callaghan	Jim	M	Fianna Fail	F.F.	Elected	Cuan Bhaile çtha Cliath Theas
odonovandeirdre	Deirdre O'Donovan	SDCC County Councillor and Independent Candidate for Seanad Elections on Industrial and Commerical Panel. Retweets & follows are not an endorsement	Dublin South-West	O'Donovan	Deirdre	F	Non-Party	NON-P.	Excluded	Baile çtha Cliath Thiar Theas
oisinohalmhain	Oisin O hAlmhain	"@GreenParty_ie activist in Dublin 8, hospital pharmacist, @stpatsfc fan, father of 3. Rail pssgr, cyclist"	Dublin South-Central	O Halmhain	Oisin	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Baile çtha Cliath Theas-Lar
oliver_moran	Oliver Moran	Software engineer. Male. etc. @CorkGreens representative for Cork North Central. @GreenParty_IE spokesperson on #politicalreform.	Cork North-Central	Moran	Oliver	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Corcaigh Thuaidh-Lar
orourke_darren	Darren O Rourke		Meath East	O'Rourke	Darren	M	Sinn Fein	S.F.	Excluded	An Mhi Thoir
padraigmacl	PadraigMacLochlainn	Sinn Fein Senator  padraig.maclochlainn@oir.ie                                     Tel: 087 2771958  Office: 086 0239227	Donegal	MacLochlainn	Padraig	M	Sinn Fein	S.F.	Excluded	D“n na nGall
pam_kearns	Pamela Kearns	@labour Councillor for Templeogue/Terenure. General Election candidate #dubsw	Dublin South-West	Kearns	Pamela	F	The Labour Party	LAB.	Excluded	Baile çtha Cliath Thiar Theas
paschald	Paschal Donohoe	Irish Minister for Public Expenditure and Reform and TD for Dublin Central	Dublin Central	Donohoe	Paschal	M	Fine Gael	F.G.	Elected	Baile çtha Cliath Lair
patbreen1	Pat Breen T.D.	Minister for Employment & Small Business. Represents County Clare.	Clare	Breen	Pat	M	Fine Gael	F.G.	Elected	An Clar
pau1clarke	Paul Clarke	"Independent Dail Eireann Candidate for Dublin Bay North, ph: 0892027675, e-mail: info@paulclarke.ie"	Dublin Bay North	Clarke	Paul	M	Non-Party	NON-P.	Excluded	Cuan Bhaile çtha Cliath Thuaidh
paudiecoffey	Paudie Coffey	Senator and former TD and Minister of State	Waterford	Coffey	Paudie	M	Fine Gael	F.G.	Excluded	Port  Lairge
pauldonnellysf	Cllr. Paul Donnelly	Sinn Fein's Dublin West representative & Fingal County Councillor for Mulhuddart area. Under 12's mentor for Cumann Naomh Peregrine.	Dublin West	Donnelly	Paul	M	Sinn Fein	S.F.	Excluded	Baile çtha Thiar
paulgogarty	Paul Gogarty	Elected representative and political reform advocate. This account resurrected recently; most followers still at musical alter-ego @mytweetsurprise	Dublin Mid-West	Gogarty	Paul Nicholas	M	Non-Party	NON-P.	Excluded	Baile çtha Cliath Thiar-Mean
paulmcauliffe	Cllr Paul McAuliffe	"Dublin City Council, Chair of Enterprise, Economic Dev. & International Relations | Fianna Fail Councillor | DNW | 087 6727060 |  paul.mcauliffe@dublincity.ie"	Dublin North-West	Mcauliffe	Paul	M	Fianna Fail	F.F.	Excluded	Baile çtha Cliath Thiar Thuaidh
paulmurphyaaa	Paul Murphy	Anti Austerity Alliance TD for Dublin South West and member of the Socialist Party.	Dublin South-West	Murphy	Paul	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Elected	Baile çtha Cliath Thiar Theas
paulphand	Cllr. Paul Hand	Independent City Councillor for Dublin South Central.	Dublin South-Central	Hand	Paul	M	Non-Party	NON-P.	Excluded	Baile çtha Cliath Theas-Lar
pbpwexford	#Deirdre Wadding	"Deirdre has been at the forefront of a number of local and national anti-austerity campaigns,most notably the Campaign Against Home and Water taxes."	Wexford	Wadding	Deirdre	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Loch Garman
pearsedoherty	Pearse Doherty	Sinn Fein TD for Donegal South West	Donegal	Doherty	Pearse	M	Sinn Fein	S.F.	Elected	D“n na nGall
peterburkefg	Peter Burke	Chartered Accountant & Public Representative in Mullingar. Keen interest in Horse Racing & Politics! All views my own.	Longford-Westmeath	Burke	Peter	M	Fine Gael	F.G.	Elected	An Longfort-An Iarmhi
pfitzpatricktd	Peter Fitzpatrick	"T.D. for Louth, former Louth GAA manager and player. Representing the people of Louth in an open, honest, hardworking and transparent manner."	Louth	Fitzpatrick	Peter	M	Fine Gael	F.G.	Elected	L“
podonovan	Patrick O'Donovan	Fine Gael TD for Limerick County. Minister of State for Tourism and Sport. Tel 069-77998	Limerick County	O'Donovan	Patrick	M	Fine Gael	F.G.	Elected	Contae Luimnigh
quinlivantd	Maurice Quinlivan TD	"Sinn Fein Teachta Dala for Limerick City. Committed to doing my best for Limerick and its people. Party Dail Spokesperson on Jobs, Enterprise & Innovation"	Limerick City	Quinlivan	Maurice	M	Sinn Fein	S.F.	Elected	Cathair Luimnigh
